# Name      CPU                       NCores Memory disks size Network      Power H6OS
lbbat0001 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0002 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0003 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0004 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0005 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0006 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0007 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0008 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0009 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0010 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0011 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0012 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0013 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0014 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0015 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0016 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0017 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0018 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0019 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
lbbat0020 Intel(R)_Xeon(R)_Silver_4116_2.10GHz 48 96 2 14.6 1000baseT/Full 1100 530
